"baseMean","log2FoldChange","lfcSE","pvalue","padj","pathway","meanNorm_sev","prev_sev"
23.7215659085509,-1.38605979179623,1.94211758203422,0.00741937837741675,0.0929483235615265,"12DICHLORETHDEG-PWY",55.4213376456278,0.34
61.1054883032877,-0.00979342707432357,0.189614153421466,0.786000090638583,0.864600099702441,"14DICHLORBENZDEG-PWY",150.722212858178,0.76
31702.2165880575,-0.0483888151187241,0.068730674636558,0.247661064698928,0.55022236541486,"1CMET2-PWY",35055.1266972651,1
444.034189570555,-0.132204933001004,0.53426962267007,0.167210463290389,0.470065905965413,"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",556.045867092979,0.62
22.5848029497371,-0.415009235181923,1.12118182248619,0.0560427161595725,0.308234938877649,"AEROBACTINSYN-PWY",322.548927757279,0.34
1205.72781044715,-0.886345068321254,0.89133324092508,0.00346544724185544,0.0520972235358935,"ALLANTOINDEG-PWY",825.347874872545,1
29772.0548552371,-0.0510401064440953,0.0698367183896757,0.219852891132912,0.521774660885184,"ANAEROFRUCAT-PWY",29918.7394340217,1
51385.0339972293,0.0642386621764958,0.0614211584532625,0.13542004211392,0.469060019974161,"ANAGLYCOLYSIS-PWY",52321.6494811539,1
19389.0305776867,-0.000352874852809853,0.0755396612545206,0.992409374312059,0.995770850684372,"ARG+POLYAMINE-SYN",20023.8638576954,1
7.6469403304021,-18.6823729087615,2.61626971868511,3.90034452910414e-13,1.75905538262597e-10,"ARGDEG-IV-PWY",2.40100768710649,0.14
45.5385992818167,-0.0925678053717884,0.499783916448001,0.307689554132771,0.585518940564893,"ARGDEG-PWY",525.009285235973,0.48
16265.009687404,-0.0303915308128343,0.0783161911923412,0.399533642896082,0.623299495884224,"ARGININE-SYN4-PWY",19582.9795604456,1
29674.7973246166,-0.0679406405162527,0.0703968436940394,0.106814669034734,0.410455222578649,"ARGSYN-PWY",28363.7827499881,1
29505.2547750667,-0.0760259822799985,0.0733848564074719,0.0700491814397806,0.338989302291924,"ARGSYNBSUB-PWY",27964.1002403268,1
54330.8815875087,0.0577499089584271,0.0646182289496796,0.177633581495621,0.488060950289839,"ARO-PWY",54052.0677220382,1
20292.9687544428,-0.0408265149727426,0.0829149784014712,0.240832379900746,0.546168160089539,"ASPASN-PWY",20019.9586184403,1
976.668628447984,-0.98769599402083,1.20609084094764,0.00696583095077719,0.0897597073943003,"AST-PWY",802.853610920854,1
51556.8654579715,0.0369132479234162,0.0709521862552949,0.364891519721891,0.616666542208332,"BRANCHED-CHAIN-AA-SYN-PWY",49054.4729336708,1
46406.497333533,0.00219125410121773,0.0582014334064109,0.958957362685901,0.984213253435208,"CALVIN-PWY",50166.4180292967,1
405.8091547961,-0.034168424890366,0.16571942395768,0.270092955651609,0.553999108118244,"CARNMET-PWY",527.915838601469,0.9
687.665143092535,-0.0292019222591242,0.191430912606781,0.394515212178711,0.623299495884224,"CATECHOL-ORTHO-CLEAVAGE-PWY",253.756244139253,0.94
25.9356298125439,-0.0155520201588053,0.286268592114866,0.780365378535433,0.864600099702441,"CHLOROPHYLL-SYN",39.1258066698746,0.44
10664.1123376279,-0.0197722480692069,0.0818867051418428,0.540488735243486,0.721184673357433,"CITRULBIO-PWY",10138.8886142073,1
56060.9739527601,0.0612081835975192,0.0671910312641457,0.150276100127114,0.469744402832668,"COA-PWY",56796.4019880776,1
52970.2324442367,0.0600684451811885,0.0650081672932119,0.160832957887362,0.469744402832668,"COA-PWY-1",54630.7346265037,1
11582.562802804,-0.00536154623101711,0.0811354661018549,0.866252697647659,0.932003263870035,"COBALSYN-PWY",11930.7887985843,1
17.3893343472969,-0.146893923026727,0.566501675094957,0.150184987834596,0.469744402832668,"CODH-PWY",19.0567859966175,0.36
19214.8201658431,0.0227278101904138,0.0884503968969445,0.431991576387725,0.642997362874138,"COLANSYN-PWY",20960.7188814668,1
57837.0944889297,0.0559978927531954,0.0647574635441986,0.190722686558815,0.50301714408202,"COMPLETE-ARO-PWY",57180.4004070725,1
148.91554506123,-0.842989761727875,1.50994128327277,0.0178236697011587,0.154586058369665,"CRNFORCAT-PWY",66.3990232850605,0.36
42783.8170625555,-0.0691059326254057,0.061762114906762,0.108736055486791,0.410455222578649,"DAPLYSINESYN-PWY",43632.9184157581,1
1530.65582588575,0.0136514635289207,0.0930896939477745,0.591774906698878,0.761728430394359,"DARABCATK12-PWY",1316.4432328548,1
4682.72951488946,-0.0273467017798201,0.106533931394362,0.309709943221267,0.586887329381476,"DENITRIFICATION-PWY",3981.33300751079,1
50944.9541028605,0.035501215264641,0.0683456736407514,0.394556166212114,0.623299495884224,"DENOVOPURINE2-PWY",50392.9883624103,1
811.508856616787,-0.90499667054367,1.21054351477679,0.00896824247527911,0.106075173700887,"DHGLUCONATE-PYR-CAT-PWY",500.900141700759,0.92
35182.0524929529,0.0384016286281083,0.0717058803913286,0.342427736002321,0.599893967933414,"DTDPRHAMSYN-PWY",34072.9887125553,1
12.8033497413521,0.0322262171952868,0.240530426208059,0.45642826819593,0.653489361766237,"ECASYN-PWY",840.145629815332,0.74
5205.18317076714,-0.0400633801103302,0.192630496742077,0.24673382134001,0.55022236541486,"FAO-PWY",5488.45681647672,1
39622.5430509619,-0.0330982081900267,0.0620619444183642,0.439203967041287,0.650193231899786,"FERMENTATION-PWY",40691.993160902,1
53273.7453277875,0.0968783138003698,0.0662374954874887,0.0265671898166157,0.192295002202723,"FOLSYN-PWY",52645.9601484117,1
