"baseMean","log2FoldChange","lfcSE","pvalue","padj","pathway","meanNorm_sev","prev_sev"
33925.9891166369,0.000441550028286859,0.0200216964847575,0.898035483470749,1,"PWY-5097",28698.577807462,1
21046.3839981871,-0.000797301787627772,0.0207589831394347,0.586450257265735,1,"PWY-5100",19596.7223594587,1
2459.35207763547,-0.000655920138820083,0.0266705926877604,0.48414175842421,1,"PWY-5101",2342.96969247513,1
51114.1810836279,0.00022782043668358,0.0201683037052623,0.932671840005244,1,"PWY-5103",52403.0376275142,1
5.18063057264632,-0.00268859714730785,0.172882755834838,0.718045982156866,1,"PWY-5104",3.11312468855684,0.129032258064516
30549.8671194374,0.000219038336972844,0.0201594607098849,0.936321256650276,1,"PWY-5121",27109.5689880173,1
8683.87576312638,-0.000482104411567771,0.0206602846465186,0.739540629980385,1,"PWY-5130",7277.89733927637,1
15514.5363391255,0.000302013696707244,0.0205226812383824,0.847729277560737,1,"PWY-5136",9644.85682724163,1
1898.43587597039,-0.00122870936550296,0.0491929540262589,0.377037313518274,1,"PWY-5138",122.111339024945,0.967741935483871
11697.5748095848,-0.00100814992584725,0.0209930752768272,0.477457931995745,1,"PWY-5154",11809.0516083535,1
10.2800396146559,17.8722960266599,3.82318275092605,7.54537191143156e-07,8.50740683013908e-05,"PWY-5178",0.424253097829892,0.032258064516129
7497.68991595146,-0.000553984271724371,0.0213858002394781,0.629959368899121,1,"PWY-5180",6519.54764409194,1
20617.4897929071,-0.000883239924767595,0.0202141010110726,0.726103391387238,1,"PWY-5188",17409.087656319,1
19329.9450129619,-0.000844382304834786,0.0202343038234072,0.728180388154395,1,"PWY-5189",16333.2072786329,1
30.6870549922665,0.00178992369074496,0.0903448567460402,0.54982093410141,1,"PWY-5209",6.52679537509899,0.258064516129032
47565.5929498239,0.000793045099853175,0.0204060698737404,0.673893336069671,1,"PWY-5265",41952.6038422266,1
21268.2376357593,0.00050542566399704,0.0203116443351451,0.80866253751952,1,"PWY-5345",18997.1544073943,1
35731.7721122956,0.00164598595360479,0.0200110294600864,0.640996184313558,1,"PWY-5347",34954.4342808413,1
